snapped_at,price,market_cap,total_volume
2022-12-29 00:00:00 UTC,9.041372463203822e-08,0.0,1189833.4745148579
2022-12-30 00:00:00 UTC,9.041372463203822e-08,0.0,1189833.4745148579
2022-12-31 00:00:00 UTC,1.449759940520561e-07,0.0,768976.9016171463
2023-01-01 00:00:00 UTC,1.966347473997168e-07,0.0,1212543.494287936
2023-01-02 00:00:00 UTC,3.669325892365465e-07,0.0,4169990.665363861
2023-01-03 00:00:00 UTC,8.145028015384614e-07,0.0,13554846.173256608
2023-01-04 00:00:00 UTC,1.2644963437025076e-06,70102320.04444692,21018151.352321297
2023-01-05 00:00:00 UTC,3.390363718104325e-06,151017226.77863383,182033457.0028737
2023-01-06 00:00:00 UTC,2.7955967157780887e-06,129961949.60081598,183928966.1630668
2023-01-07 00:00:00 UTC,1.991781104473688e-06,82609464.51035081,107460463.74516809
2023-01-08 00:00:00 UTC,2.0025667315852322e-06,82884633.9797613,61500206.026580505
2023-01-09 00:00:00 UTC,1.6316157804347651e-06,67281101.78558,45942530.665407285
2023-01-10 00:00:00 UTC,1.6090740916958267e-06,66882055.90574417,40185654.43183769
2023-01-11 00:00:00 UTC,1.5084222586935585e-06,62567067.76739721,30696076.151345607
2023-01-12 00:00:00 UTC,9.751374952692565e-07,40831489.361402765,25422962.812079474
2023-01-13 00:00:00 UTC,1.0131554364094e-06,42134484.588508256,45015907.47550378
2023-01-14 00:00:00 UTC,9.087780611315347e-07,37728463.82432167,19835640.31652601
2023-01-15 00:00:00 UTC,1.2028654967302251e-06,50264264.74540223,41758144.30687424
2023-01-16 00:00:00 UTC,1.424092681738809e-06,59544767.625974916,33797429.17643033
2023-01-17 00:00:00 UTC,1.327743919235557e-06,55127704.28468762,24708643.778169703
2023-01-18 00:00:00 UTC,1.3338675650735788e-06,55392618.33767635,15209885.215484329
2023-01-19 00:00:00 UTC,1.1153310922605703e-06,46208219.21838014,18828782.161885872
2023-01-20 00:00:00 UTC,1.1832322974662562e-06,49046004.74865092,13181818.304970078
2023-01-21 00:00:00 UTC,1.299744614578836e-06,53980018.56704512,13695437.604352346
2023-01-22 00:00:00 UTC,1.2106517132180898e-06,50213563.180594675,16786313.44060407
2023-01-23 00:00:00 UTC,1.1584307334208079e-06,48143704.49080462,13346107.584045425
2023-01-24 00:00:00 UTC,1.1536678080211718e-06,47824818.91762937,10641262.809012279
2023-01-25 00:00:00 UTC,9.6902376436542e-07,40023462.90832804,12156292.25620461
2023-01-26 00:00:00 UTC,1.0633931198724774e-06,44076202.245606795,12718314.214466292
2023-01-27 00:00:00 UTC,1.0335773313032282e-06,42867933.20497486,8829430.16421952
2023-01-28 00:00:00 UTC,1.0588926325478036e-06,43846841.00056721,7991225.202079626
2023-01-29 00:00:00 UTC,1.0094067386955283e-06,41890204.70898235,10039098.395088594
2023-01-30 00:00:00 UTC,1.0489174012425173e-06,43492473.46599721,9932535.555801902
2023-01-31 00:00:00 UTC,8.645836793304311e-07,35859304.25059963,12010520.31099128
2023-02-01 00:00:00 UTC,8.811775886351479e-07,36613232.37822889,9694621.612451756
2023-02-02 00:00:00 UTC,8.749281774661704e-07,36321904.25475339,12855989.449840017
2023-02-03 00:00:00 UTC,8.454485945939026e-07,35004914.28275444,10537929.082634307
2023-02-04 00:00:00 UTC,1.063274438654138e-06,44668242.01587384,15432320.956761008
2023-02-05 00:00:00 UTC,1.1498865088672984e-06,47617518.30305957,21327801.38139074
2023-02-06 00:00:00 UTC,1.0887296608907505e-06,39444842.94037831,17878711.48513341
2023-02-07 00:00:00 UTC,1.0507864996090948e-06,37916716.35675649,8740065.019056441
2023-02-08 00:00:00 UTC,1.0675949156972937e-06,38557900.81030968,6096433.72623871
2023-02-09 00:00:00 UTC,9.930724690651998e-07,35921396.39757838,7284348.809576388
2023-02-10 00:00:00 UTC,8.315572974502321e-07,30023779.29767152,10563676.992629165
2023-02-11 00:00:00 UTC,8.704587079389603e-07,31409576.91580667,8113914.824843795
2023-02-12 00:00:00 UTC,8.896250531764022e-07,32168558.0449375,5746271.68514402
2023-02-13 00:00:00 UTC,8.641569057860102e-07,31191182.057588674,5789545.716238809
2023-02-14 00:00:00 UTC,8.169426992829313e-07,29503483.560791325,6024360.72742858
2023-02-15 00:00:00 UTC,8.172062142217674e-07,29558399.234947048,5942637.608988638
2023-02-16 00:00:00 UTC,9.529890170435534e-07,34353209.86420721,10660005.041569224
2023-02-17 00:00:00 UTC,8.487018927874542e-07,30468673.049591523,13364953.844173232
2023-02-18 00:00:00 UTC,8.773111410970023e-07,31656525.376253296,7333473.148948302
2023-02-19 00:00:00 UTC,8.775794019613502e-07,31697533.272931345,6329797.831116545
2023-02-20 00:00:00 UTC,8.681158756620377e-07,31547059.75517772,6181588.815086324
2023-02-21 00:00:00 UTC,8.666200110049667e-07,31355504.104914166,7216516.071012854
2023-02-22 00:00:00 UTC,8.201094170811423e-07,29633419.49552033,5407181.226452478
2023-02-23 00:00:00 UTC,8.100028601935488e-07,29438571.074862503,4972767.597651509
2023-02-24 00:00:00 UTC,8.064595632503459e-07,29154497.552561767,4483976.372869777
2023-02-25 00:00:00 UTC,7.67642512577229e-07,27766210.907458972,4264564.952947762
2023-02-26 00:00:00 UTC,7.636613087741595e-07,27664626.98482311,3362709.475194592
2023-02-27 00:00:00 UTC,7.776995642950274e-07,28132978.949624248,3389314.8228999423
2023-02-28 00:00:00 UTC,7.353168952755976e-07,26670244.87690091,3858109.3248669985
2023-03-01 00:00:00 UTC,7.0638548293317e-07,25568114.136504587,4580833.449865916
2023-03-02 00:00:00 UTC,7.037269475729869e-07,25478543.14459592,4094648.1812733724
2023-03-03 00:00:00 UTC,6.747453742364104e-07,24399243.34642551,4005801.2551642125
2023-03-04 00:00:00 UTC,5.903510367160422e-07,21367138.242917974,7677651.192953399
2023-03-05 00:00:00 UTC,5.60955308422097e-07,20254231.818401024,5198615.514088859
2023-03-06 00:00:00 UTC,5.857265104412987e-07,21109524.053100985,4539704.761931861
2023-03-07 00:00:00 UTC,5.846211411372951e-07,21053522.072497796,3093611.8063605297
2023-03-08 00:00:00 UTC,5.626354378878208e-07,20279513.665433634,3950838.057158167
2023-03-09 00:00:00 UTC,4.774565976020092e-07,17313969.771460272,4525505.882003783
2023-03-10 00:00:00 UTC,4.3567236196236646e-07,15734021.267918643,3940451.712053985
2023-03-11 00:00:00 UTC,4.1783167346148537e-07,15164091.734358827,4852522.328502759
2023-03-12 00:00:00 UTC,4.6734197036202516e-07,16947399.366230723,4549176.625590553
2023-03-13 00:00:00 UTC,4.833995803746684e-07,17452590.960337024,3303637.333705275
2023-03-14 00:00:00 UTC,5.503183010056429e-07,19864767.607272077,3663067.661165681
2023-03-15 00:00:00 UTC,6.203306547723371e-07,22300225.147270568,4708835.19902151
2023-03-16 00:00:00 UTC,6.216686990509646e-07,22485476.47215177,5741587.868139925
2023-03-17 00:00:00 UTC,6.464077136370007e-07,23366644.910992257,3341270.338456201
2023-03-18 00:00:00 UTC,6.571135687929563e-07,23758271.393978152,3433868.5310867373
2023-03-19 00:00:00 UTC,6.242533264551758e-07,22536417.981465563,3141673.2138926433
2023-03-20 00:00:00 UTC,7.337370672954245e-07,26402820.761408553,4573575.598335726
2023-03-21 00:00:00 UTC,6.675409461290966e-07,24143664.35411729,4146372.910872004
2023-03-22 00:00:00 UTC,6.926041345596895e-07,24990635.286762126,2748494.312587138
2023-03-23 00:00:00 UTC,6.014189980937725e-07,21683596.43044017,3155388.203612329
2023-03-24 00:00:00 UTC,5.995466880612225e-07,21676463.13359928,2794654.514155541
2023-03-25 00:00:00 UTC,5.714091236198688e-07,20787154.989599075,2318991.6527785673
2023-03-26 00:00:00 UTC,5.536277488634369e-07,20092409.9429767,2067749.0735079949
2023-03-27 00:00:00 UTC,5.486590228172424e-07,19824147.602692436,1815863.718192754
2023-03-28 00:00:00 UTC,5.057965221994338e-07,18323621.38937104,2044668.3828142465
2023-03-29 00:00:00 UTC,4.999798213486169e-07,18070928.289750837,2237723.3602803466
2023-03-30 00:00:00 UTC,5.664400173736174e-07,20607560.761345692,3299826.8712306805
2023-03-31 00:00:00 UTC,5.722777439097688e-07,20615533.38089131,2886200.566689041
2023-04-01 00:00:00 UTC,6.451707058785032e-07,23358093.190294266,3132340.4566927766
