snapped_at,price,market_cap,total_volume
2024-08-01 00:00:00 UTC,4.604466509192203e-06,1937053.0157520678,2367674.501720913
2024-08-02 00:00:00 UTC,4.604466509192203e-06,1937053.0157520678,2367674.501720913
2024-08-03 00:00:00 UTC,4.123134835361956e-06,1734561.5938884213,1259656.6875219545
2024-08-04 00:00:00 UTC,7.1769778750135165e-06,3011140.618900021,2307131.5767328767
2024-08-05 00:00:00 UTC,1.3606892192884676e-05,5724283.4766246565,3927425.3168358165
2024-08-06 00:00:00 UTC,2.5017200683919337e-05,10524486.155718027,10545558.20663418
2024-08-07 00:00:00 UTC,9.824261323341197e-06,4130415.995942765,4399659.727608203
2024-08-08 00:00:00 UTC,1.152962048033304e-05,4811409.053228453,2946201.4578371905
2024-08-09 00:00:00 UTC,6.410066641235318e-06,2696650.9353012857,4170835.5550269573
2024-08-10 00:00:00 UTC,3.928027740431697e-06,1652481.9901222107,3510943.9166391613
2024-08-11 00:00:00 UTC,4.718377422104646e-06,1937533.5471341412,2846484.4980217414
2024-08-12 00:00:00 UTC,3.5936683342804027e-06,1510353.5315672755,2594849.9454733743
2024-08-13 00:00:00 UTC,2.9531380557481353e-06,1232790.5584818919,2931734.097830946
2024-08-14 00:00:00 UTC,3.6503995529163705e-06,1545381.4902173043,2089178.1464302582
2024-08-15 00:00:00 UTC,5.389790292492138e-06,2267430.8781485176,3010566.936036313
2024-08-16 00:00:00 UTC,2.8513816149419128e-05,12410251.346565971,29242720.409073126
2024-08-17 00:00:00 UTC,6.955106954224765e-05,29303985.323131077,26166514.235909514
2024-08-18 00:00:00 UTC,0.00010812826076812394,47448025.88250927,38144462.62234278
2024-08-19 00:00:00 UTC,7.940318198837767e-05,33106665.10255694,30272803.280608345
2024-08-20 00:00:00 UTC,6.153266132144486e-05,26372185.87542263,18902829.693515513
2024-08-21 00:00:00 UTC,4.086106727373117e-05,17187776.953227073,21613470.478758525
2024-08-22 00:00:00 UTC,3.450746001082619e-05,14432079.595627444,15454569.160487484
2024-08-23 00:00:00 UTC,3.616493854045622e-05,15164885.132482123,23383370.7727841
2024-08-24 00:00:00 UTC,5.056678501929015e-05,21280729.51677573,20015342.35154261
2024-08-25 00:00:00 UTC,4.2292976515603494e-05,17792232.290349234,10508518.442512784
2024-08-26 00:00:00 UTC,3.445658427621477e-05,14511577.510353114,13878622.928355997
2024-08-27 00:00:00 UTC,3.535915973785552e-05,14875244.910118438,14776623.270484632
2024-08-28 00:00:00 UTC,5.845016138363504e-05,24355024.348406747,6078763.188681445
2024-08-29 00:00:00 UTC,7.146324935666812e-05,30085060.82936991,19634550.877348278
2024-08-30 00:00:00 UTC,6.699857849418363e-05,27826097.009792015,14981561.947420308
