snapped_at,price,market_cap,total_volume
2023-04-18 00:00:00 UTC,1.90122246943781e-07,0.0,72312149.8663182
2023-04-19 00:00:00 UTC,1.90122246943781e-07,0.0,72312149.8663182
2023-04-20 00:00:00 UTC,2.487980874614827e-07,103889715.05745001,135270391.46841618
2023-04-21 00:00:00 UTC,3.043395466710088e-07,129095301.72730485,97389344.72057502
2023-04-22 00:00:00 UTC,1.993084273938115e-07,83562738.73258479,78113823.725372
2023-04-23 00:00:00 UTC,2.9196106348832235e-07,123288886.07513855,53946362.66753009
2023-04-24 00:00:00 UTC,3.1699379911392704e-07,133898838.64543831,45897323.73744655
2023-04-25 00:00:00 UTC,2.98731062178942e-07,126190008.33926967,31241639.699600868
2023-04-26 00:00:00 UTC,2.5824170015994866e-07,108105799.50770988,32292830.03813283
2023-04-27 00:00:00 UTC,2.2067547691226175e-07,92867729.03705756,32616452.913233563
2023-04-28 00:00:00 UTC,2.7221433242757177e-07,114833271.2802805,26543712.93965205
2023-04-29 00:00:00 UTC,3.29251404274043e-07,139695683.63832366,29101148.94733988
2023-04-30 00:00:00 UTC,4.6847846071999986e-07,197503206.57831737,54390976.035783805
2023-05-01 00:00:00 UTC,7.264861742869047e-07,305262025.5891942,192792101.86654368
2023-05-02 00:00:00 UTC,1.2009369721671877e-06,515729939.1527718,409003678.5137053
2023-05-03 00:00:00 UTC,1.13359108911021e-06,474930300.6967698,263820443.99154747
2023-05-04 00:00:00 UTC,1.0987639587427322e-06,462028649.0730819,206022408.42503214
2023-05-05 00:00:00 UTC,1.9529606076005715e-06,815215089.4315486,419857577.5390348
2023-05-06 00:00:00 UTC,3.7224126701924494e-06,1542697635.3156803,1678217180.7872844
2023-05-07 00:00:00 UTC,2.6419208092695797e-06,1096449364.184666,1238861906.9751427
2023-05-08 00:00:00 UTC,2.8366547667055106e-06,1196280618.8264537,648447246.632378
2023-05-09 00:00:00 UTC,1.9476532137880405e-06,809231665.013192,972869794.7796863
2023-05-10 00:00:00 UTC,2.0057339528606867e-06,849357084.0804384,500791610.4238046
2023-05-11 00:00:00 UTC,1.9223578473465573e-06,807493916.3958397,395760613.0404395
2023-05-12 00:00:00 UTC,1.404385945044434e-06,592161335.143536,512358306.22881746
2023-05-13 00:00:00 UTC,1.7257881203765283e-06,724945215.3761889,766574522.9188473
2023-05-14 00:00:00 UTC,1.8831931656646124e-06,797979693.9554712,827927509.1083292
2023-05-15 00:00:00 UTC,1.7976576445496967e-06,757521732.6417623,339799599.2006508
2023-05-16 00:00:00 UTC,1.7340603797610076e-06,729020141.9665443,314544807.2621635
2023-05-17 00:00:00 UTC,1.671716042920415e-06,704611673.564928,242858144.46666574
2023-05-18 00:00:00 UTC,1.5781111991678921e-06,664674331.2894682,266204338.56434864
2023-05-19 00:00:00 UTC,1.5912509242563642e-06,674242713.4825983,215363785.20892355
2023-05-20 00:00:00 UTC,1.5301364685293944e-06,646435811.0701307,140729115.5111361
2023-05-21 00:00:00 UTC,1.7240631695041447e-06,724726012.1152519,291980134.6867507
2023-05-22 00:00:00 UTC,1.6056055988447255e-06,677575768.9608785,196805411.58133382
2023-05-23 00:00:00 UTC,1.5334968449999868e-06,645055633.0514376,137066025.10676485
2023-05-24 00:00:00 UTC,1.6070179899669554e-06,676162678.7615135,153416231.1195254
